Age,Gender,Education,Experience,Department,Title,Performance,CityTier,CompanySize,CompanyType,TechSkill,Certs,English,Salary
50,Male,Bachelors,16.6,Finance,Lead,3,Tier 3,Mid,Private,59,1,Advanced,1416739.0
36,Female,Bachelors,11.7,Operations,Analyst,2,Tier 3,Enterprise,Public,49,2,Intermediate,1134693.0
29,Male,Masters,37.4,Finance,Manager,3,Tier 1,Mid,Public,74,4,Advanced,3070593.0
42,Male,Bachelors,30.9,Marketing,Engineer,1,Tier 2,Startup,Private,75,2,Intermediate,2357155.0
40,Female,PhD,6.3,Support,Analyst,1,Tier 3,Enterprise,Public,61,1,Basic,791115.0
44,Female,Masters,0.2,Tech,Engineer,3,Tier 1,Startup,MNC,61,1,Advanced,407786.0
32,Male,High School,1.6,Finance,Engineer,2,Tier 1,Mid,MNC,81,1,Intermediate,417025.0
32,Female,PhD,9.3,HR,Executive,4,Tier 1,Startup,MNC,72,1,Basic,1233012.0
45,Female,Bachelors,4.3,HR,Manager,2,Tier 1,Startup,Public,72,3,Basic,654054.0
57,Male,Bachelors,20.3,Marketing,Analyst,5,Tier 3,Enterprise,Private,83,4,Intermediate,1879118.0
45,Male,Bachelors,32.6,Operations,Manager,4,Tier 1,Startup,Private,20,1,Intermediate,2661669.0
24,Male,Bachelors,28.0,Tech,Lead,5,Tier 2,Startup,Public,98,3,Advanced,2505954.0
43,Male,High School,8.2,Finance,Manager,3,Tier 1,Startup,Private,88,1,Intermediate,807313.0
23,Female,High School,15.2,Operations,Engineer,5,Tier 1,Mid,Private,46,4,Intermediate,1586768.0
45,Female,Bachelors,19.3,Operations,Lead,3,Tier 3,Enterprise,MNC,36,4,Intermediate,1733255.0
51,Male,Masters,30.8,Support,Manager,5,Tier 2,Enterprise,Public,82,2,Intermediate,2681842.0
59,Male,Bachelors,31.9,Support,Manager,4,Tier 1,Startup,Private,60,3,Basic,2705112.0
23,Male,PhD,34.6,Finance,Engineer,5,Tier 3,Enterprise,Public,77,4,Intermediate,3057773.0
42,Female,Bachelors,19.4,Finance,Lead,2,Tier 1,Mid,MNC,76,0,Intermediate,1685477.0
54,Male,Bachelors,26.4,Finance,Engineer,3,Tier 1,Mid,MNC,57,1,Intermediate,2263600.0
33,Female,Bachelors,4.2,Finance,Manager,1,Tier 2,Startup,Private,85,4,Advanced,618148.0
43,Male,Bachelors,21.5,HR,Analyst,5,Tier 1,Startup,Public,64,3,Intermediate,1974464.0
46,Male,Bachelors,9.5,Operations,Analyst,3,Tier 2,Mid,Public,42,3,Advanced,1058869.0
48,Male,Masters,16.4,Operations,Executive,1,Tier 2,Mid,MNC,39,3,Intermediate,1517014.0
49,Female,PhD,24.1,HR,Analyst,3,Tier 1,Mid,MNC,55,2,Intermediate,2270121.0
37,Female,PhD,9.8,Operations,Lead,3,Tier 2,Startup,MNC,61,1,Basic,1224848.0
36,Female,Bachelors,2.0,Finance,Executive,1,Tier 1,Mid,Private,41,0,Basic,344322.0
24,Male,Masters,0.4,Tech,Lead,1,Tier 2,Startup,Public,79,3,Intermediate,365180.0
58,Female,Bachelors,0.8,Support,Analyst,4,Tier 1,Mid,Private,30,1,Intermediate,451743.0
28,Female,Bachelors,0.3,Support,Analyst,5,Tier 3,Mid,Public,47,3,Advanced,469660.0
42,Male,Masters,4.2,Operations,Manager,5,Tier 3,Enterprise,MNC,64,3,Intermediate,871346.0
30,Male,Masters,9.1,Tech,Lead,3,Tier 1,Mid,Private,41,0,Advanced,970997.0
39,Female,Bachelors,8.4,Support,Engineer,2,Tier 3,Startup,Private,82,1,Advanced,894806.0
25,Female,Bachelors,37.5,Tech,Manager,2,Tier 2,Mid,Private,50,3,Advanced,2952177.0
46,Female,Bachelors,11.6,HR,Lead,3,Tier 2,Enterprise,MNC,30,2,Intermediate,1214122.0
35,Female,Masters,4.8,Marketing,Executive,4,Tier 3,Mid,Private,55,3,Intermediate,762215.0
30,Male,Bachelors,20.7,Operations,Lead,1,Tier 1,Mid,Private,97,1,Intermediate,1685003.0
47,Male,PhD,32.6,HR,Executive,3,Tier 1,Mid,MNC,54,4,Advanced,2912994.0
23,Male,High School,25.8,HR,Executive,5,Tier 1,Startup,Public,42,3,Intermediate,2314523.0
41,Female,Bachelors,11.3,Tech,Analyst,2,Tier 1,Mid,Private,48,2,Basic,1063815.0
49,Female,Bachelors,21.3,Operations,Engineer,2,Tier 1,Mid,MNC,42,2,Intermediate,1816993.0
28,Male,Bachelors,27.2,HR,Lead,2,Tier 2,Mid,Private,35,3,Intermediate,2200409.0
29,Male,Bachelors,27.7,Finance,Engineer,4,Tier 1,Enterprise,Private,38,1,Intermediate,2307643.0
56,Female,Masters,25.3,HR,Executive,5,Tier 2,Startup,Public,82,3,Intermediate,2295020.0
35,Female,Masters,33.1,Finance,Analyst,4,Tier 1,Startup,MNC,69,2,Advanced,2851685.0
38,Male,PhD,33.1,Marketing,Engineer,1,Tier 1,Enterprise,Public,92,3,Intermediate,2782795.0
57,Male,Masters,22.0,Finance,Manager,3,Tier 1,Startup,Public,62,2,Intermediate,1962385.0
25,Male,Masters,16.3,Finance,Executive,3,Tier 2,Enterprise,MNC,38,4,Basic,1677552.0
23,Female,Bachelors,24.4,Tech,Manager,2,Tier 3,Mid,Public,37,3,Intermediate,2087568.0
27,Female,Masters,31.1,HR,Engineer,2,Tier 1,Startup,Private,25,0,Basic,2497176.0
25,Female,Bachelors,0.2,Marketing,Engineer,1,Tier 2,Mid,MNC,54,3,Intermediate,350428.0
50,Female,Bachelors,37.7,HR,Engineer,4,Tier 3,Mid,MNC,33,2,Advanced,3066224.0
39,Female,Bachelors,6.9,Finance,Lead,5,Tier 3,Startup,Private,83,1,Intermediate,846968.0
47,Female,Bachelors,17.9,Support,Executive,1,Tier 2,Mid,Private,28,2,Basic,1516911.0
55,Male,Bachelors,33.1,Finance,Executive,3,Tier 1,Mid,Private,54,4,Advanced,2718058.0
31,Male,PhD,8.6,HR,Executive,3,Tier 1,Enterprise,Public,21,1,Intermediate,1098417.0
57,Female,Bachelors,18.1,Marketing,Lead,4,Tier 1,Startup,Public,25,0,Intermediate,1644856.0
35,Male,High School,5.0,Support,Engineer,1,Tier 2,Mid,Public,44,0,Intermediate,490561.0
52,Female,Bachelors,15.0,Marketing,Engineer,5,Tier 1,Enterprise,Public,92,4,Advanced,1623304.0
36,Male,High School,6.7,Tech,Manager,1,Tier 2,Startup,Public,69,4,Basic,774563.0
29,Female,Bachelors,13.8,Finance,Lead,1,Tier 1,Mid,Public,26,4,Advanced,1265295.0
35,Male,Bachelors,14.2,Finance,Analyst,4,Tier 1,Mid,MNC,82,4,Basic,1485008.0
44,Male,Bachelors,37.7,Tech,Lead,5,Tier 3,Mid,MNC,47,3,Basic,3117432.0
42,Female,Bachelors,37.8,HR,Manager,3,Tier 3,Mid,MNC,21,2,Intermediate,2995147.0
37,Female,Masters,4.4,Finance,Manager,2,Tier 2,Mid,MNC,84,3,Intermediate,701883.0
39,Male,Masters,27.6,HR,Manager,5,Tier 1,Startup,MNC,78,1,Basic,2488129.0
45,Male,Bachelors,2.0,Marketing,Engineer,3,Tier 3,Startup,MNC,43,0,Basic,475553.0
47,Female,Bachelors,1.1,Support,Analyst,4,Tier 1,Enterprise,Public,81,0,Intermediate,421798.0
46,Male,Bachelors,4.0,Support,Manager,5,Tier 2,Enterprise,MNC,90,1,Advanced,819781.0
50,Female,Masters,36.7,Support,Executive,5,Tier 1,Enterprise,Private,57,0,Basic,2997463.0
36,Female,High School,35.8,Operations,Engineer,3,Tier 2,Startup,MNC,81,4,Basic,2867462.0
22,Male,High School,7.4,Tech,Analyst,3,Tier 2,Startup,Private,84,4,Advanced,899839.0
46,Female,Masters,6.1,Support,Executive,1,Tier 3,Startup,Private,70,4,Intermediate,747121.0
28,Male,Bachelors,9.1,Finance,Analyst,1,Tier 2,Mid,MNC,71,1,Intermediate,901032.0
30,Male,Bachelors,19.6,Tech,Analyst,5,Tier 3,Startup,Public,93,2,Intermediate,1820055.0
45,Female,Bachelors,21.6,Marketing,Executive,2,Tier 2,Startup,Public,82,1,Intermediate,1797866.0
22,Male,PhD,8.4,Marketing,Lead,4,Tier 2,Mid,Private,30,2,Advanced,1143457.0
29,Female,Masters,28.8,Marketing,Analyst,3,Tier 1,Enterprise,Public,67,0,Basic,2390015.0
45,Female,Masters,11.8,Marketing,Lead,1,Tier 1,Enterprise,Private,73,0,Intermediate,1072114.0
32,Female,Bachelors,35.0,Operations,Analyst,4,Tier 2,Enterprise,Public,69,0,Basic,2816829.0
38,Male,Bachelors,25.0,HR,Executive,5,Tier 3,Mid,Public,93,2,Intermediate,2217751.0
29,Female,PhD,16.6,HR,Analyst,3,Tier 1,Mid,Public,57,0,Basic,1637625.0
56,Male,PhD,30.0,Support,Manager,3,Tier 1,Mid,Public,27,1,Intermediate,2597582.0
56,Female,Bachelors,31.1,Operations,Manager,1,Tier 1,Startup,MNC,25,2,Intermediate,2529576.0
54,Female,Masters,11.0,HR,Analyst,2,Tier 3,Enterprise,MNC,87,4,Intermediate,1204434.0
26,Female,Bachelors,12.9,Marketing,Executive,3,Tier 1,Mid,MNC,88,2,Advanced,1282390.0
49,Male,Bachelors,35.6,HR,Executive,2,Tier 1,Mid,Private,25,1,Advanced,2773118.0
28,Male,Masters,6.3,Tech,Engineer,4,Tier 1,Enterprise,MNC,51,1,Intermediate,933877.0
30,Female,Bachelors,1.6,Support,Executive,3,Tier 1,Enterprise,MNC,57,1,Intermediate,513258.0
29,Female,PhD,17.3,HR,Lead,3,Tier 2,Startup,MNC,76,0,Basic,1719313.0
33,Male,High School,30.4,Tech,Analyst,2,Tier 3,Enterprise,Public,83,4,Basic,2440921.0
55,Male,Bachelors,29.3,Finance,Manager,1,Tier 1,Mid,Public,73,4,Basic,2391773.0
54,Male,PhD,34.9,Tech,Executive,5,Tier 1,Startup,Public,33,3,Advanced,3056688.0
44,Female,PhD,20.3,Tech,Manager,4,Tier 3,Enterprise,Public,83,1,Advanced,2006289.0
45,Male,Bachelors,3.8,Marketing,Engineer,3,Tier 3,Startup,Public,69,0,Intermediate,558511.0
58,Female,Bachelors,22.4,Marketing,Analyst,1,Tier 1,Mid,MNC,66,2,Intermediate,1855850.0
56,Male,Masters,29.6,Support,Executive,3,Tier 1,Mid,MNC,73,0,Advanced,2448747.0
43,Female,Bachelors,3.5,Marketing,Manager,4,Tier 3,Mid,Public,38,1,Intermediate,619595.0
48,Female,PhD,6.6,Tech,Executive,5,Tier 2,Mid,Public,94,0,Intermediate,1014201.0
56,Female,PhD,0.5,Operations,Engineer,3,Tier 3,Startup,MNC,58,1,Intermediate,547662.0
22,Male,Bachelors,22.6,Marketing,Manager,2,Tier 1,Startup,MNC,84,2,Intermediate,2018165.0
56,Male,Bachelors,33.7,Marketing,Manager,1,Tier 2,Mid,Public,79,2,Advanced,2621631.0
58,Male,High School,25.5,Tech,Analyst,5,Tier 2,Startup,Private,52,4,Intermediate,2275427.0
35,Female,PhD,37.3,Finance,Analyst,3,Tier 3,Mid,Public,51,3,Advanced,3094305.0
24,Female,Bachelors,2.4,Finance,Manager,5,Tier 3,Mid,MNC,55,0,Intermediate,604103.0
22,Male,Bachelors,34.3,HR,Analyst,2,Tier 1,Enterprise,Private,43,3,Advanced,2706874.0
26,Female,Bachelors,30.9,Support,Manager,3,Tier 2,Startup,Public,62,0,Intermediate,2437595.0
47,Female,Bachelors,11.9,Finance,Lead,5,Tier 1,Enterprise,MNC,90,4,Advanced,1412173.0
35,Female,High School,37.0,Marketing,Executive,3,Tier 3,Mid,MNC,90,4,Advanced,3037989.0
48,Male,Bachelors,10.9,Operations,Lead,3,Tier 2,Enterprise,MNC,65,2,Basic,1191757.0
30,Female,PhD,33.8,HR,Lead,5,Tier 3,Mid,Public,66,2,Basic,3037502.0
36,Male,PhD,33.5,Support,Executive,3,Tier 1,Mid,Public,88,2,Advanced,2876645.0
36,Male,Masters,28.8,Operations,Manager,2,Tier 1,Mid,Private,33,0,Basic,2331132.0
47,Male,High School,21.4,Operations,Manager,5,Tier 1,Startup,MNC,64,3,Intermediate,2032552.0
34,Male,Bachelors,4.6,Marketing,Analyst,5,Tier 1,Mid,MNC,71,3,Advanced,871082.0
